problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['A'], ['F', 'G', 'D', 'E', 'C', 'B']]","[['F', 'D', 'G', 'B', 'A', 'E', 'C']]",11,6.915506362915039,1022,2967,9.522117137908936,311,1461,4.024244070053101,301,1424,697,4.025236368179321,311,1428,644
"[['B', 'C'], ['A', 'F', 'G', 'E', 'D']]","[['A', 'C', 'G', 'D', 'F', 'B', 'E']]",10,3.713074207305908,713,2303,5.151232957839966,162,779,2.119326591491699,156,755,405,2.4195287227630615,207,880,392
"[['G', 'C', 'D', 'E', 'F', 'A'], ['B']]","[['G', 'D', 'C', 'E', 'B', 'A', 'F']]",11,7.3688671588897705,1127,3213,11.042856454849243,363,1619,5.4324729442596436,348,1577,814,4.333416938781738,363,1582,721
"[['C', 'D'], ['B', 'G', 'F', 'A', 'E']]","[['B', 'F', 'G', 'E', 'D', 'C', 'A']]",10,2.7047369480133057,569,1896,4.419455528259277,127,629,1.7872214317321777,126,626,331,1.4900190830230713,187,738,258
"[['G', 'D'], ['C', 'A', 'F', 'E', 'B']]","[['A', 'D', 'G', 'C', 'B', 'F', 'E']]",10,0.6432843208312988,277,1021,2.122321844100952,87,395,0.900590181350708,83,379,179,0.5664520263671875,105,403,107
"[['B', 'A', 'E'], ['C', 'D', 'F', 'G']]","[['F', 'A', 'B', 'C', 'G', 'E', 'D']]",10,2.7067980766296387,650,1908,5.722666025161743,224,877,2.731696128845215,212,856,448,1.9946987628936768,246,890,342
"[['A', 'C'], ['F', 'G', 'E', 'B', 'D']]","[['A', 'D', 'E', 'C', 'G', 'F', 'B']]",8,0.020947694778442383,41,148,0.37994909286499023,16,73,0.13862919807434082,15,65,31,0.055850982666015625,36,139,6
"[['A', 'C', 'E', 'G'], ['D', 'F', 'B']]","[['F', 'E', 'G', 'B', 'A', 'C', 'D']]",10,1.4361603260040283,483,1436,2.262949228286743,84,455,1.4651143550872803,82,450,264,1.3753225803375244,247,892,200
"[['A', 'G'], ['C', 'D', 'F', 'E', 'B']]","[['C', 'B', 'F', 'E', 'D', 'G', 'A']]",10,3.5136055946350098,765,2243,5.142284870147705,224,827,2.529237747192383,220,811,499,2.511274814605713,255,877,386
"[['B', 'F', 'C'], ['G', 'A', 'D', 'E']]","[['A', 'D', 'B', 'F', 'C', 'E', 'G']]",11,17.2714102268219,1963,4280,19.60857343673706,691,2495,10.962884902954102,649,2364,1513,9.795842409133911,675,2359,1246
"[['A'], ['C', 'G', 'E', 'B', 'D', 'F']]","[['A', 'D', 'C', 'E', 'B', 'F', 'G']]",10,1.280576467514038,364,1270,3.3559935092926025,136,602,1.2437067031860352,131,588,271,1.1170132160186768,148,605,204
"[['B'], ['D', 'A', 'E', 'G', 'F', 'C']]","[['B', 'G', 'C', 'A', 'D', 'E', 'F']]",9,0.043914079666137695,47,188,0.6043837070465088,21,100,0.1904914379119873,21,100,46,0.08078360557556152,31,119,19
